currSessionId,currGameId,currGameRoundId,currGamePhase,playerId,playerType,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor
"052106CZK['CC', 'CC', 'CI']",1,5,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,Reproach,4.16,0.00,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"052106CZK['CC', 'CC', 'CI']",1,5,BUDGET_ALLOCATION,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,Reproach,4.16,0.00,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"052106CZK['CC', 'CC', 'CI']",1,4,BUDGET_ALLOCATION,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,Reproach,4.16,0.00,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"052106CZK['CC', 'CC', 'CI']",1,6,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,Reproach,4.16,0.00,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"052106CZK['CC', 'CC', 'CI']",1,6,BUDGET_ALLOCATION,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,Reproach,4.16,0.00,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"052106CZK['CC', 'CC', 'CI']",1,6,BUDGET_ALLOCATION,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Joy,4.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.16,0.00,0.00,0.00,4.68,2.67,0.00,0.00,0.00,0.00
"052106CZK['CC', 'CC', 'CI']",1,5,BUDGET_ALLOCATION,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Joy,4.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.16,0.00,0.00,0.00,4.68,2.67,0.00,0.00,0.00,0.00
"052106CZK['CC', 'CC', 'CI']",1,7,BUDGET_ALLOCATION,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,Reproach,4.16,0.00,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"052106CZK['CC', 'CC', 'CI']",1,7,BUDGET_ALLOCATION,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,Joy,4.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.16,0.00,0.00,0.00,4.68,2.67,0.00,0.00,0.00,0.00
"052106CZK['CC', 'CC', 'CI']",1,7,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,Reproach,4.16,0.00,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
